,0
08115-000,-46.38368
91910-971,-51.23957
95034-160,-51.18852
14055-620,-47.82205
90110-230,-51.23092
41830-000,-38.46116
65076-730,-44.22562
14090-260,-47.78812
38400-702,-48.26542
39401-851,-43.87248
70170-900,-47.90164
50711-000,-34.92304
18047-900,-47.4653
60035-110,-38.53243
50770-720,-34.92002
74275-120,-49.2813
70150-900,-47.86072
66055-005,-48.48987
66035-220,-48.48733
66645-000,-48.43751
66113-000,-48.48533
88010-001,-48.55622
60310-001,-38.54489
22755-001,-43.33186
61645-100,-38.6136
76820-163,-63.87688
76804-186,-63.89309
19050-230,-51.39876
29175-344,-40.18418
99025-503,-52.43039
29123-001,-40.29621
29164-037,-40.26467
41340-050,-38.41628
20540-003,-43.23626
24020-110,-43.12255
22050-032,-43.1902
20040-002,-43.1751
69043-000,-60.03125
20210-030,-43.20288
22031-071,-43.18626
21350-031,-43.32652
28035-053,-41.33712
20260-130,-43.20841
21941-353,-43.22765
60115-080,-38.50956
27260-010,-44.10443
22410-003,-43.21028
28893-076,-41.86339
25250-000,-43.29555
89809-450,-52.63675
86010-020,-51.16089
74210-260,-49.27441
25730-745,-43.13423
96030-002,-52.36661
96015-140,-52.34009
96503-490,-52.90995
03712-008,-46.53338
95700-200,-51.52154
52060-590,-34.91205
93336-025,-51.1348
97015-123,-53.81048
93040-193,-51.13037
95034-000,-51.18579
29145-906,-40.37137
90010-190,-51.23291
81720-000,-49.25813
40060-001,-38.51451
41820-021,-38.45732
04777-000,-46.70214
30380-252,-43.94901
04571-000,-46.69308
50670-420,-34.94238
88062-025,-48.46856
89202-295,-48.84517
89260-000,-49.12042
88080-160,-48.57993
88090-000,-48.59837
88523-000,-50.30444
89022-000,-49.05786
89805-203,-52.62603
89285-580,-49.40355
80620-200,-49.29055
80045-270,-49.24236
81730-000,-49.2271
80060-120,-49.26225
80230-010,-49.26906
82400-000,-49.32865
80730-000,-49.2994
90030-131,-51.22451
90010-140,-51.22903
83301-010,-49.06177
80030-001,-49.25862
84010-000,-50.15912
84070-000,-50.17832
80240-000,-49.28645
85801-002,-53.46682
73310-200,-47.88371
72705-050,-48.05988
66025-160,-48.49139
05805-000,-46.73374
40010-020,-38.51298
13033-000,-47.0956
74513-101,-49.28688
36016-321,-43.35739
36010-110,-43.34512
36045-120,-43.35489
77001-004,-48.33289
41740-170,-38.41427
21350-180,-43.33421
64002-475,-42.80222
58055-000,-34.83873
29051-042,-40.31788
74230-100,-49.27667
90110-000,-51.22792
08780-120,-46.18441
87030-000,-51.91519
20520-052,-43.2403
30421-198,-43.97168
88704-410,-49.0117
40070-190,-38.51697
01413-100,-46.66265
60192-018,-38.47701
60721-340,-38.56106
02265-002,-46.601
80020-040,-49.27314
13208-051,-46.89341
09961-350,-46.58736
04045-902,-46.64446
41233-005,-38.45327
70873-500,-47.88689
74115-060,-49.34159
60165-080,-38.49238
04538-905,-46.68165
74083-195,-49.25349
78050-000,-56.08288
03011-000,-46.61614
04035-000,-46.63549
04023-062,-46.6427
74675-830,-49.21652
64045-970,-42.77284
60822-131,-38.49736
70381-525,-47.92796
89256-501,-49.05944
70630-901,-47.91964
49020-570,-37.05733
58040-300,-34.86224
40230-731,-38.50099
13201-760,-46.87593
70910-900,-47.86557
74605-220,-49.24394
74830-130,-49.25805
05116-000,-46.74687
20771-001,-43.27995
41720-010,-38.43471
89227-015,-48.83449
30130-188,-43.93744
65051-210,-44.2212
90480-000,-51.18263
51111-020,-34.90071
01139-001,-46.66314
38400-100,-48.27772
35162-036,-42.55224
36090-280,-43.43364
66075-110,-48.45827
59063-400,-35.21108
59066-180,-35.21191
41150-000,-38.46478
40170-110,-38.50854
72876-333,-47.99559
78050-970,-56.07154
78055-428,-56.04842
78045-490,-56.10461
78110-400,-56.13375
78005-907,-56.11403
69900-640,-67.813
69057-000,-60.01328
74911-700,-49.35821
94930-230,-53.37577
13472-419,-47.30664
81130-000,-49.29586
01227-000,-46.65453
14810-270,-48.15899
29055-642,-40.2954
21210-623,-43.30683
21321-010,-43.35183
45600-171,-39.27454
05302-001,-46.72887
05406-050,-46.67907
45651-620,-39.04575
06600-010,-46.8982
22790-701,-43.48834
70040-020,-47.8788
70073-900,-47.88267
70712-900,-47.88305
60160-230,-38.49495
17017-339,-49.05651
58051-900,-34.8504
58013-010,-34.82944
58041-000,-34.86061
25569-900,-43.35828
97105-900,-53.71645
52051-020,-34.90204
57051-000,-35.7332
57020-913,-35.73865
65076-820,-44.28862
30150-281,-43.9276
76930-970,-62.28538
76801-222,-63.90733
76932-970,-62.71745
30160-012,-43.93857
58429-140,-35.91108
20031-080,-43.17851
22470-050,-43.21949
27281-422,-44.09556
20031-923,-43.17796
02350-011,-46.61738
03636-100,-46.54034
03988-010,-46.50144
04733-400,-46.69588
09041-320,-46.53069
09810-260,-46.56497
59078-900,-35.20667
82940-010,-49.21549
81020-010,-49.28358
82210-000,-49.26078
71571-710,-47.78113
71503-502,-47.90994
72010-120,-48.05588
76807-610,-63.87795
59064-901,-35.2113
79002-205,-54.61629
35164-213,-42.5553
86025-720,-51.16816
22740-360,-43.35666
20540-004,-43.25644
03512-970,-46.52479
09521-300,-46.57657
85803-000,-53.45506
06501-970,-46.91686
21235-110,-43.32695
22270-000,-43.18381
05013-000,-46.66662
87111-140,-51.87509
63041-140,-39.3288
70070-600,-47.92909
50110-000,-34.88524
50720-001,-34.90534
26383-060,-43.5555
23087-284,-43.55664
69010-080,-60.01999
69050-970,-60.02421
70040-912,-47.88475
02464-200,-46.65316
07050-000,-46.53728
04378-100,-46.66489
01008-000,-46.63621
20031-170,-43.18064
20920-310,-43.23553
03527-000,-46.5417
03658-011,-46.50702
77006-014,-48.3275
49026-010,-37.06313
24340-000,-43.03012
26210-060,-43.45293
30130-005,-43.93653
22260-001,-43.19087
78020-400,-56.10279
78025-300,-56.11397
91350-200,-51.15954
13015-082,-47.05957
96810-166,-52.43576
69900-082,-67.81079
69900-333,-67.80906
18047-620,-47.46484
14096-350,-47.77044
11060-303,-46.33636
13400-765,-47.64993
13083-865,-47.06618
13209-080,-46.89676
21710-232,-43.43342
96200-090,-52.09393
92120-124,-51.17695
14050-220,-47.82551
68900-101,-51.05236
38408-404,-48.28257
24350-310,-43.056
76801-429,-63.91116
70775-530,-47.89694
77064-580,-48.29377
79031-330,-54.55578
79020-300,-54.59684
05170-000,-46.74803
05640-002,-46.746
02135-002,-46.57381
14409-003,-47.39828
15055-298,-49.35681
65030-015,-44.29246
19015-150,-51.38789
02611-003,-46.66546
51180-001,-34.91705
51010-000,-34.88504
22640-100,-43.32206
05019-011,-46.68502
08410-000,-46.41662
60015-051,-38.53435
60130-241,-38.51206
74810-100,-49.23809
38045-000,-47.95165
72225-017,-48.11237
72465-360,-48.05875
29090-820,-40.26931
30310-530,-43.92926
30320-660,-43.94123
75903-290,-50.91751
60431-086,-38.55109
57035-180,-35.69749
29313-656,-41.24644
03620-001,-46.52353
06180-180,-46.80081
20260-142,-43.21639
30720-100,-43.96051
35700-293,-44.25451
20010-010,-43.37257
89068-000,-49.08917
59110-200,-35.24287
80410-201,-49.27779
82820-110,-49.20359
60720-000,-38.56881
60822-164,-38.48408
71680-122,-47.82414
57052-400,-35.73815
57020-070,-35.73609
58035-030,-34.84039
78740-046,-54.61626
87013-050,-51.91397
85812-003,-53.46682
86070-545,-51.18286
04538-133,-46.68322
01310-100,-46.65237
03319-000,-46.56885
13091-908,-47.02145
17012-202,-49.05792
66063-060,-48.47476
41820-901,-38.4616
88032-005,-48.50561
50030-900,-34.87334
29050-335,-40.29503
12242-840,-45.90272
14020-750,-47.78189
09080-000,-46.53499
09750-420,-46.55406
05001-903,-46.67578
15090-305,-49.40294
70610-410,-47.91278
31310-240,-43.97905
