,Unnamed: 0,0
497,01503-000,-20.9496372
498,01503-000,-20.6869406
499,01503-000,-20.8131981
500,01503-000,-20.7714101
501,01503-000,-20.6445443
502,01503-000,-20.0807222
503,01503-000,-19.8703061
504,01503-000,-19.940272
505,01503-001,-20.1379274
506,01504-000,-20.1054387
507,01504-000,-20.0934536
508,01506-000,-19.8486906
509,01523-000,-19.7234229
510,01523-010,-19.8400459
511,01523-010,-19.7117202
512,01525-001,-19.7040654
513,01525-001,-19.41654
514,01525-001,-19.6596295
515,01525-001,-19.1598585
516,01529-000,-19.0249945
517,01531-000,-18.8872717
518,01531-000,-18.9349074
519,01531-000,-18.9634073
520,01531-001,-18.9732399
521,01531-001,-18.694373
522,01531-001,-18.5218358
523,01538-000,-18.7792534
524,01538-000,-18.4958087
525,01538-000,-18.3772551
526,01538-000,-18.2495805
527,01538-000,-18.1417342
528,01538-001,-19.2117057
529,01538-001,-19.0983721
530,01539-020,-18.8851034
531,01552-001,-18.4785834
532,02010-200,-18.2031464
533,02010-300,-18.3958665
534,02010-300,-20.0303793
535,02010-400,-20.0625032
536,02010-400,-20.0661367
537,02010-400,-19.7333431
538,02010-400,-19.702875
539,02010-500,-19.6445353
540,02011-300,26.6211772
541,02011-400,-19.6355296
542,02011-400,-19.6519566
